name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Cenn's Tactician",1,"Creature - Kithkin Soldier",W,"mor","5",uncommon,null,Owned,Non-foil,false,,,"","",29116,false
"Goldenglow Moth",1,"Creature - Insect",W,"shm","6",common,null,Owned,Non-foil,false,,,"","",29877,false
"Goldmeadow Harrier",1,"Creature - Kithkin Soldier",W,"lrw","17",common,null,Owned,Non-foil,false,,,"","",28185,false
"Goldmeadow Stalwart",1,"Creature - Kithkin Soldier",W,"lrw","18",uncommon,null,Owned,Non-foil,false,,,"","",28531,false
"Mosquito Guard",1,"Creature - Kithkin Soldier",W,"mor","18",common,null,Owned,Non-foil,false,,,"","",29018,false
"Ballyrush Banneret",2,"Creature - Kithkin Soldier",W,"mor","1",common,null,Owned,Non-foil,false,,,"","",29030,false
"Judge of Currents",2,"Creature - Merfolk Wizard",W,"lrw","22",common,null,Owned,Non-foil,false,,,"","",28535,false
"Kinsbaile Skirmisher",2,"Creature - Kithkin Soldier",W,"lrw","24",common,null,Owned,Non-foil,false,,,"","",28755,false
"Kithkin Greatheart",2,"Creature - Kithkin Soldier",W,"lrw","25",common,null,Owned,Non-foil,false,,,"","",28727,false
"Kithkin Shielddare",2,"Creature - Kithkin Soldier",W,"shm","10",common,null,Owned,Non-foil,false,,,"","",29759,false
"Knight of Meadowgrain",2,"Creature - Kithkin Knight",W,"lrw","28",uncommon,null,Owned,Non-foil,false,,,"","",28405,false
"Mistmeadow Skulk",2,"Creature - Kithkin Rogue",W,"shm","14",uncommon,null,Owned,Non-foil,false,,,"","",29287,false
"Order of the Golden Cricket",2,"Creature - Kithkin Knight",W,"mor","19",common,null,Owned,Non-foil,false,,,"","",29210,false
"Patrol Signaler",2,"Creature - Kithkin Soldier",W,"eve","12",uncommon,null,Owned,Non-foil,false,,,"","",30170,false
"Safehold Sentry",2,"Creature - Elf Warrior",W,"shm","22",common,null,Owned,Non-foil,false,,,"","",29537,false
"Shinewend",2,"Creature - Elemental",W,"mor","23",common,null,Owned,Non-foil,false,,,"","",29068,false
"Suture Spirit",2,"Creature - Spirit",W,"eve","16",uncommon,White,Owned,Non-foil,false,,,"","",30080,false
"Avian Changeling",3,"Creature - Shapeshifter",W,"lrw","4",common,null,Owned,Non-foil,false,,,"","",28639,false
"Ballynock Cohort",3,"Creature - Kithkin Soldier",W,"shm","3",common,null,Owned,Non-foil,false,,,"","",29389,false
"Burrenton Bombardier",3,"Creature - Kithkin Soldier",W,"mor","3",common,null,Owned,Non-foil,false,,,"","",29060,false
"Flickerwisp",3,"Creature - Elemental",W,"eve","6",uncommon,null,Owned,Non-foil,false,,,"","",29970,false
"Kithkin Billyrider",3,"Creature - Kithkin Knight",W,"mom","24",common,null,Owned,Foil,false,,,"","",109854,false
"Kithkin Zephyrnaut",3,"Creature - Kithkin Soldier",W,"mor","16",common,null,Owned,Non-foil,false,,,"","",29106,false
"Mirror Entity",3,"Creature - Shapeshifter",W,"lrw","31",rare,null,Owned,Non-foil,false,,,"","",28497,false
"Order of Whiteclay",3,"Creature - Kithkin Cleric",W,"shm","16",rare,null,Owned,Non-foil,false,,,"","",29415,false
"Preeminent Captain",3,"Creature - Kithkin Soldier",W,"mor","20",rare,null,Owned,Non-foil,false,,,"","",28958,false
