Quantity,Name
"1","Darksteel Colossus"
"1","Marwyn, the Nurturer"
"1","Obstinate Baloth"
"1","Nissa, Who Shakes the World"
"1","Ward of Bones"
"1","Oblivion Ring"
"1","Mindslaver"
"1","Turntimber Basilisk"
"1","Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun"
"1","Loxodon Warhammer"
"1","Acidic Slime"
"1","Kitchen Finks"
"1","Llanowar Elves"
"1","Uncharted Haven"
"9","Plains"
"1","Grappling Hook"
"9","Forest"
"1","Soul Warden"
"1","Arasta of the Endless Web"
"1","Unmake"
"1","Swords to Plowshares"
"1","Day of Judgment"
"1","Prison Term"
"1","Arbor Elf"
