Quantity,Name
"1","Tibalt, Rakish Instigator"
"1","Doom Blade"
"1","Fateful End"
"1","Liliana, Death's Majesty"
"1","Punishing Fire"
"1","Siege-Gang Commander"
"1","Dark Ritual"
"1","Murderous Redcap"
"1","Catalyst Elemental"
"1","Vampire Hexmage"
"1","Witch's Mist"
"1","Hellkite Charger"
"1","Malfegor"
"1","Loxodon Warhammer"
"1","Fury Charm"
"1","Assassinate"
"8","Swamp"
"8","Mountain"
"1","Mark of Mutiny"
"1","Malakir Bloodwitch"
"1","Reckless Rage"
"1","Soul-Scar Mage"
"1","Guttersnipe"
"1","Skarrgan Hellkite"
"1","Cinder Barrens"
"1","Cunning Sparkmage"
"1","Ob Nixilis, the Hate-Twisted"
