Quantity,Name
"1","Foreboding Ruins"
"1","Dragonskull Summit"
"1","Hellion Eruption"
"1","Vampire Aristocrat"
"1","Paladin of the Bloodstained"
"1","Kathari Bomber"
"1","Clifftop Retreat"
"1","Lightning Bolt"
"1","Isolated Chapel"
"1","Mavren Fein, Dusk Apostle"
"1","Terramorphic Expanse"
"1","Orzhov Racketeers"
"1","Gravedigger"
"1","Blinding Mage"
"1","Vampire Hexmage"
"1","Scoured Barrens"
"1","Makeshift Munitions"
"1","Rockslide Elemental"
"1","Disfigure"
"1","Liliana's Mastery"
"3","Plains"
"1","Iona's Judgment"
"1","Soul Warden"
"1","Pacifism"
"1","Furycalm Snarl"
"1","Ajani's Pridemate"
"2","Mountain"
"1","Cinder Barrens"
"1","Gwyllion Hedge-Mage"
"1","Scavenger Drake"
"3","Swamp"
"1","Goblin Arsonist"
"1","Pitiless Pontiff"
"1","Hordeling Outburst"
"1","Jinxed Idol"
