Quantity,Name
"1","Dreadmalkin"
"9","Swamp"
"1","Vampire of the Dire Moon"
"1","Fateful End"
"1","Liliana, Death's Majesty"
"1","Kalastria Highborn"
"1","Bloodghast"
"1","Warcry Phoenix"
"8","Mountain"
"1","Hellkite Charger"
"1","Grim Initiate"
"1","Manabarbs"
"1","Aphemia, the Cacophony"
"1","Quietus Spike"
"1","Mark of Mutiny"
"1","Chandra, Hope's Beacon"
"1","Magma Phoenix"
"1","Coat of Arms"
"1","Archfiend of Ifnir"
"1","Malakir Bloodwitch"
"1","Comet Storm"
"1","Panharmonicon"
"1","Sanctum Seeker"
"1","Cunning Sparkmage"
"1","Jinxed Idol"
