Quantity,Name
"1","Cloudgoat Ranger"
"1","Merfolk Looter"
"1","Angelic Intervention"
"1","Paladin of the Bloodstained"
"1","Mental Note"
"1","Harm's Way"
"1","Ponder"
"1","Mulldrifter"
"1","Oblivion Ring"
"9","Plains"
"1","Turn to Mist"
"1","Faerie Vandal"
"1","Flickerwisp"
"1","Galepowder Mage"
"8","Island"
"1","Narrow Escape"
"1","Touch the Spirit Realm"
"1","Inspiring Cleric"
"1","Soul Warden"
"1","Meadowboon"
"1","Day of Judgment"
"1","Panharmonicon"
"1","Journey to Nowhere"
"1","Restoration Angel"
"1","Devoted Crop-Mate"
