Quantity,Name
"1","Arbor Elf"
"1","Untamed Kavu"
"1","Domri's Ambush"
"1","Swords to Plowshares"
"1","Titanic Brawl"
"4","Mountain"
"1","Misty Rainforest"
"1","Utopia Sprawl"
"5","Forest"
"1","Domri, Anarch of Bolas"
"1","Arid Mesa"
"1","Chandra, Hope's Beacon"
"1","Knight of the Reliquary"
"1","Pollenbright Druid"
"1","Gilded Goose"
"1","Llanowar Elves"
"1","Gold Myr"
"1","Beast Within"
"1","Galepowder Mage"
"1","Sunpetal Grove"
"1","Spellbreaker Behemoth"
"1","Dreadhorde Arcanist"
"1","Plains"
"1","Devoted Druid"
"1","Terramorphic Expanse"
"1","Scavenging Ooze"
"1","Fortified Village"
"1","Siege-Gang Commander"
"1","Marwyn, the Nurturer"
"1","Groundswell"
"1","Overrun"
"1","Jiang Yanggu, Wildcrafter"
"1","Flooded Strand"
