Quantity,Name
1,Manamorphose
1,Warleader's Call
1,Clarion Spirit
1,Adanto Vanguard
1,Bomat Courier
1,Goblin Bombardment
1,Cathar Commando
7,Mountain
1,Monastery Swiftspear
6,Plains
1,Perilous Myr
1,Reveillark
1,Crimson Wisps
1,Eiganjo, Seat of the Empire
1,Elegant Parlor
1,Wrath of God
1,Chandra, Hope's Beacon
1,Faerie Guidemother // Gift of the Fae
1,Glass Casket
1,Demand Answers
1,Sacred Foundry
1,Soul-Scar Mage
1,The Wandering Emperor
1,Cheeky House-Mouse // Squeak By
1,Krenko, Tin Street Kingpin
1,Day of Judgment
1,Mizzium Tank
1,Sevinne's Reclamation
1,Flame Jab

Sideboard
1,The Binding of the Titans
1,Cloudgoat Ranger
1,Windswept Heath
1,Harm's Way
1,Bloodsky Berserker
1,Spell Snare
1,Chatter of the Squirrel
1,The Huntsman's Redemption
1,Sparring Construct
1,Ignoble Hierarch
1,Tarfire
1,Mosquito Guard
1,Esika's Chariot
1,Prismatic Vista
1,Overgrown Tomb
1,Time Wipe
1,Toxic Deluge
1,Lost Jitte
