Quantity,Name
1,Helping Hand
1,Shadowy Backstreet
1,Kellan, the Fae-Blooded // Birthright Boon
1,Phoenix Chick
1,Bloodstained Mire
1,Firebolt
1,Urza's Bauble
4,Swamp
1,Mesmeric Fiend
1,Mayhem Devil
1,Bitter Triumph
5,Mountain
2,Plains
1,Lizard Blades
1,Bloodchief's Thirst
1,Lord Skitter, Sewer King
1,Ulcerate
1,Viscera Seer
1,Welcoming Vampire
1,Monastery Mentor
1,Mark of Mutiny
1,Lightning Bolt
1,Phelia, Exuberant Shepherd
1,Sacred Foundry
1,Bitterblossom
1,Marionette Apprentice
1,Legion's Landing // Adanto, the First Fort
1,Mother of Runes
1,Urza's Saga
1,Blood Crypt
1,Searslicer Goblin
1,Tibalt's Rager

Sideboard
1,Puppeteer Clique
1,Horizon Canopy
1,Spirited Companion
1,Hallowed Fountain
1,Prismatic Ending
1,Lush Portico
1,Dead Weight
1,Memory Lapse
1,Mana Tithe
1,Scryb Ranger
1,Archfiend of Ifnir
1,Sinew Sliver
1,Agonizing Remorse
1,Raise the Alarm
