Quantity,Name
5,Forest
1,Young Pyromancer
1,Wooded Foothills
2,Stomping Ground
1,Dragonsguard Elite
1,Crop Rotation
1,Abrade
1,Sheltered Thicket
1,Courser of Kruphix
1,Tireless Tracker
6,Mountain
1,Dreadhorde Arcanist
1,Abundant Harvest
1,Questing Druid // Seek the Beast
1,Renata, Called to the Hunt
1,Rishadan Port
1,Pick Your Poison
1,Electrostatic Infantry
1,Llanowar Elves
1,Song of the Dryads
1,Gilded Goose
1,Birds of Paradise
1,Hardened Scales
1,Pollenbright Druid
1,Cankerbloom
1,Chainweb Aracnir
1,Roaring Earth
1,Lava Dart
1,Wilderness Reclamation
1,Burst Lightning

Sideboard
1,Collected Company
1,Opt
1,Ravenous Squirrel
1,Arbor Elf
1,Jolrael, Mwonvuli Recluse
1,Tarmogoyf
1,No More Lies
1,Elspeth's Smite
1,Vivien, Champion of the Wilds
1,Faerie Dreamthief
1,Warden of the Inner Sky
1,Audacity
1,Arasta of the Endless Web
1,Utopia Sprawl
1,Sylvan Library
1,Consider
