Quantity,Name
"1","Flooded Strand"
"1","Ephara's Dispersal"
"1","Brainstorm"
"1","Treasure Cruise"
"1","Young Pyromancer"
"1","Fire // Ice"
"1","Miscalculation"
"1","Manamorphose"
"4","Mountain"
"1","Eiganjo, Seat of the Empire"
"1","Kiora, the Rising Tide"
"1","Unholy Heat"
"1","Electrostatic Infantry"
"1","Lightning Helix"
"1","Mystic Confluence"
"1","Elspeth's Smite"
"1","Counterspell"
"1","Mana Tithe"
"1","Scalding Viper // Steam Clean"
"1","Scalding Tarn"
"1","Chandra, Hope's Beacon"
"1","Arid Mesa"
"1","Flame Slash"
"1","Memory Lapse"
"1","Hallowed Fountain"
"1","Plains"
"1","Steam Vents"
"1","Dreamtide Whale"
"1","Meticulous Archive"
"1","Careful Study"
"1","Burst Lightning"
"3","Island"
"1","Saheeli, Sublime Artificer"
"1","Sunbaked Canyon"
"1","Rielle, the Everwise"
"1","Consider"
