Quantity,Name
"1","Bloodsoaked Champion"
"1","Cloudgoat Ranger"
"1","Warleader's Call"
"1","Knight of the Ebon Legion"
"1","Clarion Spirit"
"1","Monastery Mentor"
"1","Faerie Guidemother // Gift of the Fae"
"1","Godless Shrine"
"1","Seasoned Pyromancer"
"1","Goblin Bombardment"
"1","Mayhem Devil"
"1","Cut Down"
"1","Esper Sentinel"
"3","Plains"
"1","Woe Strider"
"4","Swamp"
"1","Elegant Parlor"
"1","Welcoming Vampire"
"1","Luminarch Aspirant"
"1","Seasoned Hallowblade"
"1","Werefox Bodyguard"
"1","Mountain"
"1","Arid Mesa"
"2","Sacred Foundry"
"1","Prismatic Vista"
"1","Bloodstained Mire"
"1","Silent Clearing"
"1","Marionette Apprentice"
"1","Legion's Landing // Adanto, the First Fort"
"1","Mother of Runes"
"1","The Wandering Emperor"
"1","Cheeky House-Mouse // Squeak By"
"1","Journey to Nowhere"
"1","Tidehollow Sculler"
