Quantity,Name
"1","Otawara, Soaring City"
"1","Elusive Otter // Grove's Bounty"
"1","Merfolk Looter"
"1","Gitaxian Probe"
"1","Triton Wavebreaker"
"1","Repeal"
"1","Bonesplitter"
"3","Mountain"
"1","Faithless Looting"
"1","Unsummon"
"1","Chart a Course"
"1","Irencrag Pyromancer"
"1","Pyrite Spellbomb"
"1","Opt"
"1","Blazing Rootwalla"
"1","Into the Roil"
"1","Reckless Pyrosurfer"
"1","Shelldock Isle"
"1","Dragon's Rage Channeler"
"1","Grim Lavamancer"
"1","Lizard Blades"
"1","Psychic Frog"
"1","Scalding Tarn"
"1","Watery Grave"
"1","Bloodstained Mire"
"3","Island"
"1","Mischievous Mystic"
"1","Overgrown Tomb"
"1","Preordain"
"1","Stern Scolding"
"1","Spell Pierce"
"2","Blood Crypt"
"1","Snapcaster Mage"
"1","Searslicer Goblin"
"1","Mishra's Bauble"
