Quantity,Name
"1","Fell"
"1","Thoughtseize"
"1","Fatal Push"
"1","Serum Visions"
"1","Shark Typhoon"
"1","Curator of Mysteries"
"1","Mana Leak"
"1","Kitesail Freebooter"
"1","Ponder"
"1","Puppeteer Clique"
"1","Bloodsky Berserker"
"1","Pile On"
"1","Languish"
"1","Man-o'-War"
"8","Swamp"
"1","Disfigure"
"1","Read the Bones"
"1","Brainsurge"
"1","Fact or Fiction"
"1","Ethereal Forager"
"7","Island"
"1","Accursed Marauder"
"1","Spellstutter Sprite"
"1","Polluted Delta"
"1","Watery Grave"
"1","Archfiend of Ifnir"
"1","Thing in the Ice // Awoken Horror"

Sideboard
"1","Helping Hand"
"1","Candy Trail"
"1","Shadowy Backstreet"
"1","Soul Snare"
"1","Faerie Vandal"
"1","Perilous Myr"
"1","Reprieve"
"1","Celestial Colonnade"
"1","Soul Partition"
"1","Wrath of God"
"1","No More Lies"
"1","Thraben Inspector"
"1","Unexpectedly Absent"
"1","Glass Casket"
"1","Condescend"
"1","Goldmeadow Harrier"
"1","Meadowboon"
"1","Time Wipe"
"1","Day of Judgment"
"1","Tectonic Edge"
