Quantity,Name
"1","Six"
"1","Augur of Autumn"
"1","Wrenn and Six"
"1","Lotus Cobra"
"1","Wooded Foothills"
"1","Renata, Called to the Hunt"
"1","Stomping Ground"
"1","Murderous Redcap"
"1","Goblin Bombardment"
"1","Mayhem Devil"
"1","Tireless Tracker"
"1","Tasigur, the Golden Fang"
"1","Languish"
"1","Unearth"
"1","Lord Skitter, Sewer King"
"1","Ulcerate"
"1","Commercial District"
"1","Magma Jet"
"1","Gilded Goose"
"1","The Huntsman's Redemption"
"1","Krenko, Tin Street Kingpin"
"1","Ignoble Hierarch"
"1","Mountain"
"1","Mountain"
"1","Scalding Tarn"
"1","Chandra, Hope's Beacon"
"1","Esika's Chariot"
"1","Flame Slash"
"1","Bitterblossom"
"4","Forest"
"1","Dark Confidant"
"1","Prismatic Vista"
"1","Overgrown Tomb"
"1","Blood Crypt"
"3","Swamp"

Sideboard
"1","Shark Typhoon"
"1","Pestermite"
"1","Kitchen Finks"
"1","Llanowar Elves"
"1","Fact or Fiction"
"1","Mosquito Guard"
"1","Mystic Sanctuary"
"1","Watery Grave"
"1","Restless Vinestalk"
"1","Roaring Earth"
"1","Wilderness Reclamation"
"1","Quirion Beastcaller"
"1","Searslicer Goblin"
"1","Tidehollow Sculler"
