Quantity,Name
"1","Thoughtseize"
"1","Fatal Push"
"1","Cling to Dust"
"1","Brainstorm"
"1","Blackmail"
"1","Treasure Cruise"
"1","Ponder"
"1","Puppeteer Clique"
"1","Bitter Triumph"
"1","Bloodsky Berserker"
"1","Sedgemoor Witch"
"1","Negate"
"1","Woe Strider"
"1","Fetid Pools"
"1","Rishadan Port"
"6","Swamp"
"1","Containment Construct"
"1","Kiora, the Rising Tide"
"1","Counterspell"
"1","Liliana of the Veil"
"1","Infernal Grasp"
"1","Faerie Dreamthief"
"1","Watery Grave"
"1","Takenuma, Abandoned Mire"
"1","Careful Study"
"1","Archfiend of Ifnir"
"1","Moon-Circuit Hacker"
"1","Polluted Delta"
"6","Island"
"1","Hostage Taker"
"1","Grim Bauble"
"1","Agonizing Remorse"
"1","Undercity Sewers"

Sideboard
"1","Bloodsoaked Champion"
"1","Festering Mummy"
"1","Portent"
"1","Faerie Guidemother // Gift of the Fae"
"1","Godless Shrine"
"1","Unsummon"
"1","Pyroclasm"
"1","Disfigure"
"1","Celestial Colonnade"
"1","Wrath of God"
"1","Plains"
"1","Accursed Marauder"
"1","Hallowed Fountain"
"1","Meticulous Archive"
"1","Silent Clearing"
"1","Nightmare Shepherd"
"1","Day of Judgment"
"1","Saheeli, Sublime Artificer"
