Quantity,Name
"1","Fell"
"1","The Binding of the Titans"
"1","Chromatic Star"
"1","Knight of the Ebon Legion"
"1","Virtue of Persistence // Locthwain Scorn"
"1","Hedge Maze"
"1","Boseiju, Who Endures"
"1","Kitesail Freebooter"
"1","Repeal"
"1","Dragonsguard Elite"
"1","Cut Down"
"1","Abundant Harvest"
"1","Pile On"
"1","Explore"
"1","Tarmogoyf"
"7","Swamp"
"1","Inexorable Blob"
"1","Nurturing Peatland"
"6","Forest"
"1","Bloodstained Mire"
"1","Flooded Strand"
"1","Overgrown Tomb"
"1","Engineered Explosives"
"1","Utopia Sprawl"
"1","Mosswood Dreadknight // Dread Whispers"
"1","Toxic Deluge"
"1","Tamiyo, Compleated Sage"
"1","Eternal Witness"
"4","Island"
"1","Sylvan Library"
"1","Mishra's Bauble"

Sideboard
"1","Candy Trail"
"1","Shadowy Backstreet"
"1","Fungal Infection"
"1","Death's Shadow"
"1","Kishla Skimmer"
"1","No More Lies"
"1","Hardened Scales"
"1","Daze"
"1","Ethereal Forager"
"1","Condescend"
"1","Chatter of the Squirrel"
"1","Preordain"
"1","Comet Storm"
"1","Bone Shards"
"1","Murderous Cut"
