Quantity,Name
"1","Archmage's Charm"
"1","Ephara's Dispersal"
"1","Lightning Bolt"
"1","Mana Leak"
"1","Seasoned Pyromancer"
"1","Young Pyromancer"
"1","Fire // Ice"
"1","Sprite Dragon"
"1","Thundering Falls"
"1","Chart a Course"
"1","Miscalculation"
"5","Island"
"1","Man-o'-War"
"5","Mountain"
"1","Proft's Eidetic Memory"
"1","Demand Answers"
"1","Electrostatic Infantry"
"1","Brainsurge"
"1","Remand"
"1","Dragon's Rage Channeler"
"1","Scalding Viper // Steam Clean"
"1","Tarfire"
"1","Lórien Revealed"
"1","Memory Lapse"
"1","Fiery Islet"
"1","Steam Vents"
"1","Wooded Foothills"
"1","Misty Rainforest"
"1","Mischievous Mystic"
"1","Thing in the Ice // Awoken Horror"
"1","Burst Lightning"
"1","Snapcaster Mage"

Sideboard
"1","Merfolk Looter"
"1","Curator of Mysteries"
"1","Mesmeric Fiend"
"1","Lava Dart"
"1","Goldhound"
"1","Edge of Autumn"
"1","Aether Spellbomb"
"1","Viscera Seer"
"1","Lizard Blades"
"1","Audacity"
"1","Spell Pierce"
"1","Goblin Guide"
"1","Rielle, the Everwise"
"1","Flame Jab"
