Quantity,Name
"1","Adanto Vanguard"
"1","Kellan, the Fae-Blooded // Birthright Boon"
"1","Anje's Ravager"
"1","Phoenix Chick"
"1","Bonesplitter"
"1","Esper Sentinel"
"1","Dreadhorde Arcanist"
"1","March of Otherworldly Light"
"1","Abrade"
"1","Unholy Heat"
"1","Lightning Helix"
"1","Welcoming Vampire"
"1","Luminarch Aspirant"
"1","Dauntless Bodyguard"
"1","Seasoned Hallowblade"
"6","Mountain"
"5","Plains"
"1","Seal of Fire"
"1","Arid Mesa"
"1","Firebolt"
"2","Sacred Foundry"
"1","Flames of the Firebrand"
"1","Soul-Scar Mage"
"1","Goldmeadow Harrier"
"1","Cemetery Gatekeeper"
"1","Inti, Seneschal of the Sun"
"1","Ogre-Head Helm"
"1","Journey to Nowhere"
"1","Sunbaked Canyon"
"1","Lion Sash"

Sideboard
"1","Cloudgoat Ranger"
"1","Bloodghast"
"1","Cathar Commando"
"1","Faithless Looting"
"1","Irencrag Pyromancer"
"1","Reveillark"
"1","Fiery Temper"
"1","Blazing Rootwalla"
"1","Reinforced Ronin"
"1","Elspeth's Smite"
"1","Oust"
"1","Reckless Charge"
"1","Meadowboon"
"1","Sheltered Thicket"
"1","Cheeky House-Mouse // Squeak By"
"1","Mizzium Tank"
