Quantity,Name
"1","Otawara, Soaring City"
"1","Seal of Removal"
"1","Urza's Bauble"
"1","Courser of Kruphix"
"1","Soul Snare"
"1","Spell Snare"
"1","Enlightened Tutor"
"1","Faerie Vandal"
"1","Perilous Myr"
"2","Island"
"1","Arasta of the Endless Web"
"1","The Goose Mother"
"3","Forest"
"1","Pick Your Poison"
"1","Iron Apprentice"
"1","Soul Partition"
"1","Into the Roil"
"4","Plains"
"1","Touch the Spirit Realm"
"1","Breeding Pool"
"1","Steppe Lynx"
"1","Scalding Tarn"
"1","Scryb Ranger"
"1","Polluted Delta"
"1","Temple Garden"
"1","Dreamtide Whale"
"1","Tameshi, Reality Architect"
"1","Misty Rainforest"
"1","Urza's Saga"
"1","Stern Scolding"
"1","Traverse the Ulvenwald"
"1","Windswept Heath"
"1","Sevinne's Reclamation"
"1","Arbor Elf"

Sideboard
"1","Garruk Wildspeaker"
"1","Primeval Titan"
"1","Serum Visions"
"1","Qasali Pridemage"
"1","Grim Discovery"
"1","Bomat Courier"
"1","Scrabbling Claws"
"1","Elegant Parlor"
"1","Aether Tradewinds"
"1","Mystic Confluence"
"1","Unexpectedly Absent"
"1","Thalia, Guardian of Thraben"
"1","Marionette Apprentice"
"1","Tectonic Edge"
