Quantity,Name
"1","Helping Hand"
"1","Clarion Spirit"
"1","Elusive Otter // Grove's Bounty"
"1","Flooded Strand"
"3","Island"
"1","Monastery Mentor"
"1","Gitaxian Probe"
"1","Kor Skyfisher"
"4","Plains"
"1","Collected Company"
"1","Dress Down"
"2","Marsh Flats"
"1","Questing Druid // Seek the Beast"
"1","Flickerwisp"
"1","Fearless Fledgling"
"1","Opt"
"1","Raise the Alarm"
"1","Hallowed Fountain"
"1","Reprieve"
"1","Shelldock Isle"
"1","Thraben Inspector"
"1","Horizon Canopy"
"1","Werefox Bodyguard"
"1","Warden of the Inner Sky"
"1","Spellstutter Sprite"
"1","Phelia, Exuberant Shepherd"
"1","Underground Mortuary"
"1","Forest"
"1","Legion's Landing // Adanto, the First Fort"
"1","Mother of Runes"
"1","Restoration Angel"
"1","Lost Jitte"
"1","Steam Vents"
"1","Consider"

Sideboard
"1","Blood Crypt"
"1","Warleader's Call"
"1","Twinshot Sniper"
"1","Manamorphose"
"1","Den of the Bugbear"
"1","Barbarian Ring"
"1","Rabbit Battery"
"1","Reckless Pyrosurfer"
"1","Grim Lavamancer"
"1","Cankerbloom"
"1","Dig Through Time"
"1","Monastery Swiftspear"
"1","Carrion Feeder"
