Quantity,Name
"1","Windswept Heath"
"1","Call of the Herd"
"1","Scavenging Ooze"
"1","Stomping Ground"
"1","Crop Rotation"
"1","Territorial Kavu"
"1","Spirited Companion"
"1","Bloodchief's Thirst"
"1","Pyrite Spellbomb"
"1","Lingering Souls"
"1","Portable Hole"
"1","Prismatic Ending"
"1","Shifting Woodland"
"1","Brightglass Gearhulk"
"1","Eiganjo, Seat of the Empire"
"1","Lush Portico"
"1","Field of the Dead"
"1","Forest"
"1","Read the Bones"
"1","Titania, Protector of Argoth"
"1","Birds of Paradise"
"1","Grim Flayer"
"1","Knight of the Reliquary"
"1","Plains"
"1","Dead Weight"
"1","Glass Casket"
"1","Arid Mesa"
"1","Breeding Pool"
"1","Godless Shrine"
"1","Chainweb Aracnir"
"1","Bloodstained Mire"
"1","Raucous Theater"
"1","Scrapwork Mutt"
"1","Duress"
"1","Life from the Loam"
"1","Canyon Slough"
"1","The Wandering Emperor"
"2","Verdant Catacombs"
"1","Temple Garden"

Sideboard
"1","Legion Extruder"
"1","Harm's Way"
"1","Ravenous Squirrel"
"1","Jolrael, Mwonvuli Recluse"
"1","Mountain"
"1","Heritage Reclamation"
"1","Song of the Dryads"
"1","Vivien, Champion of the Wilds"
