Quantity,Name
"1","Bloodsoaked Champion"
"1","Fatal Push"
"1","Legion Extruder"
"1","Cling to Dust"
"4","Swamp"
"1","Bomat Courier"
"1","Seasoned Pyromancer"
"1","Goblin Bombardment"
"1","Pia and Kiran Nalaar"
"1","Kavaron Harrier"
"1","Marsh Flats"
"1","Unearth"
"1","Lord Skitter, Sewer King"
"1","Lingering Souls"
"1","Unholy Heat"
"1","Reckless Pyrosurfer"
"1","Read the Bones"
"1","Grim Lavamancer"
"1","Plains"
"4","Mountain"
"1","Dead Weight"
"1","Arid Mesa"
"1","Dark Confidant"
"1","Bloodstained Mire"
"1","Silent Clearing"
"1","Raucous Theater"
"1","Toxic Deluge"
"1","Verdant Catacombs"
"1","Inti, Seneschal of the Sun"
"1","Blood Crypt"
"1","Searslicer Goblin"
"1","Grim Bauble"
"1","Lost Jitte"
"1","Murderous Cut"

Sideboard
"1","The Binding of the Titans"
"1","Merfolk Looter"
"1","Twinshot Sniper"
"1","Archenemy's Charm"
"1","Harm's Way"
"1","Kor Skyfisher"
"1","Mayhem Devil"
"1","Bloodsky Berserker"
"1","March of Otherworldly Light"
"1","Fearless Fledgling"
"1","Chandra, Hope's Beacon"
"1","Meticulous Archive"
"1","Thalia, Guardian of Thraben"
"1","Scrabbling Claws"
