Quantity,Name
"1","Thoughtseize"
"1","Timeline Culler"
"1","Call of the Herd"
"1","Gingerbrute"
"1","Polluted Delta"
"1","Wooded Foothills"
"1","Liliana, Dreadhorde General"
"1","Mountain"
"3","Swamp"
"1","Kitesail Freebooter"
"1","Rankle, Master of Pranks"
"1","Pyrite Spellbomb"
"1","Barbarian Ring"
"1","Commercial District"
"1","Tarmogoyf"
"1","Disfigure"
"1","Magma Jet"
"4","Forest"
"1","Gilded Goose"
"1","Duress"
"1","Titania, Protector of Argoth"
"1","Birds of Paradise"
"1","Dragon's Rage Channeler"
"1","Deluge of Doom"
"1","Seal of Fire"
"1","Blood Crypt"
"1","Overgrown Tomb"
"1","Takenuma, Abandoned Mire"
"1","Misty Rainforest"
"1","Inquisition of Kozilek"
"1","Bone Shards"
"1","Burst Lightning"
"1","Voracious Hydra"
"1","Agonizing Remorse"
"1","Arbor Elf"

Sideboard
"1","Chromatic Star"
"1","Candy Trail"
"1","Elusive Otter // Grove's Bounty"
"1","Ephara's Dispersal"
"1","Tamiyo, Compleated Sage"
"1","Grim Discovery"
"1","Urza's Bauble"
"1","Ravenous Squirrel"
"1","No More Lies"
"1","Engineered Explosives"
"1","Chatter of the Squirrel"
"1","Urza's Saga"
"1","Roaring Earth"
