Quantity,Name
"1","Lightstall Inquisitor"
"1","Scavenging Ooze"
"4","Forest"
"1","Qasali Pridemage"
"2","Godless Shrine"
"1","Bonesplitter"
"1","Tireless Tracker"
"1","Sandstorm Salvager"
"1","Collected Company"
"1","Bloodchief's Thirst"
"1","Lush Portico"
"1","Llanowar Elves"
"2","Swamp"
"1","Dauntless Bodyguard"
"1","Ignoble Hierarch"
"1","Thraben Inspector"
"1","Cankerbloom"
"1","Nurturing Peatland"
"3","Plains"
"1","Accursed Marauder"
"1","Warden of the Inner Sky"
"1","Flooded Strand"
"2","Temple Garden"
"1","Audacity"
"1","Mosswood Dreadknight // Dread Whispers"
"1","Arasta of the Endless Web"
"1","Underground Mortuary"
"1","Midnight Reaper"
"1","Eternal Witness"
"1","Quirion Beastcaller"
"1","Sevinne's Reclamation"
"1","Tidehollow Sculler"

Sideboard
"1","Faerie Guidemother // Gift of the Fae"
"1","Man-o'-War"
"1","Pick Your Poison"
"1","Soul Partition"
"1","Heritage Reclamation"
"1","Caretaker's Talent"
"1","Grim Flayer"
"1","Inexorable Blob"
"1","Breeding Pool"
"1","Chainweb Aracnir"
"1","Scrapwork Mutt"
"1","Sheltered Thicket"
"1","Carrion Feeder"
"1","Tectonic Edge"
