Quantity,Name
"5","Mountain"
"1","Serum Visions"
"1","Gitaxian Probe"
"1","Mana Leak"
"1","Young Pyromancer"
"1","Fire // Ice"
"1","Ponder"
"1","Lava Dart"
"1","Sprite Dragon"
"1","Irencrag Pyromancer"
"7","Island"
"1","Remand"
"1","Shelldock Isle"
"1","Flametongue Kavu"
"1","Scalding Tarn"
"1","Memory Lapse"
"1","Polluted Delta"
"1","Dreamtide Whale"
"1","Preordain"
"1","Thing in the Ice // Awoken Horror"
"1","Torrential Gearhulk"
"1","Cemetery Gatekeeper"
"1","Stern Scolding"
"1","Ogre-Head Helm"
"1","Snapcaster Mage"
"1","Goblin Guide"
"1","Saheeli, Sublime Artificer"
"1","Steam Vents"
"1","Consider"
"1","Flame Jab"

Sideboard
"1","Adanto Vanguard"
"1","Monastery Mentor"
"1","Pestermite"
"1","Goldhound"
"1","Dress Down"
"1","Bedlam Reveler"
"1","Miscalculation"
"1","Fetid Pools"
"1","Proft's Eidetic Memory"
"1","Reinforced Ronin"
"1","Into the Roil"
"1","Counterspell"
"1","Lorien Revealed"
"1","Mosquito Guard"
"1","Utopia Sprawl"
"1","Reckless Charge"
"1","Sunbaked Canyon"
