Quantity,Name
"1","Shadowy Backstreet"
"1","Windswept Heath"
"1","Wrenn and Six"
"1","Lotus Cobra"
"1","Primeval Titan"
"1","Lightning Bolt"
"1","Stomping Ground"
"1","Ride's End"
"1","Territorial Kavu"
"1","Courser of Kruphix"
"1","Spell Snare"
"1","Jolrael, Mwonvuli Recluse"
"1","Verdurous Gearhulk"
"1","Elegant Parlor"
"1","Brainsurge"
"1","Elspeth's Smite"
"1","Up the Beanstalk"
"1","Magmatic Sinkhole"
"1","Noble Hierarch"
"1","Breeding Pool"
"1","Scalding Tarn"
"1","Esika's Chariot"
"1","Arid Mesa"
"1","Watery Grave"
"1","Bloodstained Mire"
"2","Hallowed Fountain"
"1","Condescend"
"1","Dig Through Time"
"1","Prismatic Vista"
"4","Forest"
"1","Overgrown Tomb"
"1","Path to Exile"
"1","Spell Pierce"
"1","Verdant Catacombs"
"1","Day of Judgment"
"1","Woodland Wanderer"
"1","Mountain"
"1","Sylvan Library"

Sideboard
"1","Abundant Harvest"
"1","Fungal Infection"
"1","Death's Shadow"
"1","Manamorphose"
"1","Blazing Rootwalla"
"1","Life from the Loam"
"1","Moon-Circuit Hacker"
"1","Cheeky House-Mouse // Squeak By"
