Quantity,Name
"1","Warleader's Call"
"1","Clarion Spirit"
"1","Kellan, the Fae-Blooded // Birthright Boon"
"1","Anje's Ravager"
"1","Cathar Commando"
"1","Dreadhorde Arcanist"
"1","Spirited Companion"
"1","Marsh Flats"
"1","Heartfire Hero"
"1","Den of the Bugbear"
"1","Fiery Temper"
"1","Raise the Alarm"
"1","Abrade"
"1","Eiganjo, Seat of the Empire"
"1","Rabbit Battery"
"1","Reprieve"
"1","Lightning Helix"
"6","Plains"
"1","Welcoming Vampire"
"1","Luminarch Aspirant"
"1","Seasoned Hallowblade"
"1","Krenko, Tin Street Kingpin"
"1","Oust"
"1","Flame Slash"
"1","Sacred Foundry"
"1","Firebolt"
"1","Phelia, Exuberant Shepherd"
"1","Flames of the Firebrand"
"1","The Wandering Emperor"
"1","Embercleave"
"1","Lion Sash"
"1","Recruitment Officer"
"6","Mountain"

Sideboard
"1","Cloudgoat Ranger"
"1","Knight of the Ebon Legion"
"1","Mesmeric Fiend"
"1","Dragonsguard Elite"
"1","Perilous Myr"
"1","Aether Spellbomb"
"1","Containment Construct"
"1","Mystic Confluence"
"1","Daze"
"1","Lizard Blades"
"1","Meadowboon"
"1","Comet Storm"
"1","Mizzium Tank"
"1","Mishra's Bauble"
