Quantity,Name
"1","Sacred Foundry"
"1","Otawara, Soaring City"
"1","Helping Hand"
"1","Six"
"1","Augur of Autumn"
"1","Mountain"
"1","Boseiju, Who Endures"
"1","Seal of Removal"
"1","Treasure Cruise"
"1","Stomping Ground"
"1","Esper Sentinel"
"1","Faithless Looting"
"1","Thundering Falls"
"1","Questing Druid // Seek the Beast"
"1","Edge of Autumn"
"1","The Goose Mother"
"1","Explore"
"1","Portable Hole"
"1","Prismatic Ending"
"1","Rishadan Port"
"1","Shifting Woodland"
"1","Kiora, the Rising Tide"
"1","Celestial Colonnade"
"1","Field of the Dead"
"1","Wrath of God"
"2","Plains"
"1","The Huntsman's Redemption"
"1","Touch the Spirit Realm"
"1","Horizon Canopy"
"1","Knight of the Reliquary"
"1","Werefox Bodyguard"
"1","Glass Casket"
"1","Wooded Foothills"
"1","Restless Vinestalk"
"1","Careful Study"
"1","Misty Rainforest"
"1","Traverse the Ulvenwald"
"1","Journey to Nowhere"
"1","Windswept Heath"
"1","Hedge Maze"

Sideboard
"1","Renata, Called to the Hunt"
"1","Demand Answers"
"1","Unexpectedly Absent"
"1","Fiery Islet"
"1","Steam Vents"
"1","Canyon Slough"
"1","Rielle, the Everwise"
