Quantity,Name
"1","Fell"
"1","Archmage's Charm"
"1","Baleful Strix"
"1","Virtue of Persistence // Locthwain Scorn"
"1","Flooded Strand"
"1","Shark Typhoon"
"7","Swamp"
"1","Brainstorm"
"1","Curator of Mysteries"
"1","Portent"
"1","Puppeteer Clique"
"1","Sphinx of Forgotten Lore"
"1","Sedgemoor Witch"
"1","Tasigur, the Golden Fang"
"1","Faerie Vandal"
"1","Pile On"
"1","Ulcerate"
"1","Opt"
"1","Woe Strider"
"1","Harvester of Misery"
"1","Liliana of the Veil"
"1","Ethereal Forager"
"1","Mystic Sanctuary"
"1","Bitterblossom"
"1","Spellstutter Sprite"
"1","Watery Grave"
"7","Island"
"1","Mischievous Mystic"
"1","Fact or Fiction"
"1","Hostage Taker"
"1","Undercity Sewers"

Sideboard
"1","Garruk Wildspeaker"
"1","Bloodghast"
"1","Repeal"
"1","Cut Down"
"1","Bitter Triumph"
"1","Unsummon"
"1","Kishla Skimmer"
"1","Flickerwisp"
"1","Reveillark"
"1","Viscera Seer"
"1","Brightglass Gearhulk"
"1","Faerie Dreamthief"
"1","Monastery Swiftspear"
"1","Marionette Apprentice"
"1","Goldmeadow Harrier"
"1","Restoration Angel"
