Quantity,Name
"1","Baleful Strix"
"1","Scavenging Ooze"
"1","Serum Visions"
"3","Island"
"1","Cling to Dust"
"1","Brainstorm"
"1","Portent"
"1","Urza's Bauble"
"1","Ponder"
"1","Repeal"
"1","Death's Shadow"
"1","Dress Down"
"1","Faerie Vandal"
"1","Bloodchief's Thirst"
"1","Pick Your Poison"
"1","Tarmogoyf"
"1","Heritage Reclamation"
"3","Swamp"
"1","Bitter Triumph"
"1","Daze"
"2","Breeding Pool"
"1","Accursed Marauder"
"1","Scalding Tarn"
"1","Watery Grave"
"1","Dark Confidant"
"1","Restless Vinestalk"
"1","Misty Rainforest"
"3","Forest"
"1","Thing in the Ice // Awoken Horror"
"1","Stern Scolding"
"1","Polluted Delta"
"1","Voracious Hydra"
"1","Mishra's Bauble"
