Quantity,Name
"1","Helping Hand"
"1","Monastery Mentor"
"4","Plains"
"1","Lotus Cobra"
"4","Forest"
"1","Delney, Streetwise Lookout"
"1","Territorial Kavu"
"1","Faithless Looting"
"1","Quirion Beastcaller"
"1","Spirited Companion"
"1","Fearless Fledgling"
"1","Pyrite Spellbomb"
"4","Mountain"
"1","Explore"
"1","Raise the Alarm"
"1","Rishadan Port"
"1","Magma Jet"
"1","Elegant Parlor"
"1","Lightning Helix"
"1","Reckless Pyrosurfer"
"1","Seasoned Hallowblade"
"1","Noble Hierarch"
"1","Touch the Spirit Realm"
"1","Horizon Canopy"
"1","Grim Lavamancer"
"1","Werefox Bodyguard"
"1","Wooded Foothills"
"1","Thalia, Guardian of Thraben"
"1","Life from the Loam"
"1","Restoration Angel"
"1","Flame Jab"
