Quantity,Name
"1","Warleader's Call"
"1","Adanto Vanguard"
"1","Legion Extruder"
"1","Lightstall Inquisitor"
"1","Gingerbrute"
"1","Wooded Foothills"
"1","Lightning Bolt"
"1","Kor Skyfisher"
"1","Goldhound"
"1","Pia and Kiran Nalaar"
"1","Marsh Flats"
"1","Heartfire Hero"
"1","Perilous Myr"
"1","Rabbit Battery"
"1","Reinforced Ronin"
"5","Plains"
"1","Luminarch Aspirant"
"1","Krenko, Tin Street Kingpin"
"1","Lizard Blades"
"1","Flametongue Kavu"
"1","Flame Slash"
"2","Sacred Foundry"
"1","Reckless Charge"
"1","Cemetery Gatekeeper"
"1","Cheeky House-Mouse // Squeak By"
"1","Burst Lightning"
"1","Embercleave"
"1","Lion Sash"
"1","Recruitment Officer"
"6","Mountain"
