Quantity,Name
"1","Fell"
"1","Virtue of Persistence // Locthwain Scorn"
"1","Ephara's Dispersal"
"1","Deep-Cavern Bat"
"1","Liliana, Dreadhorde General"
"1","Mana Leak"
"1","Kitesail Freebooter"
"1","Sphinx of Forgotten Lore"
"1","Cut Down"
"1","Marsh Flats"
"1","Miscalculation"
"1","Opt"
"6","Swamp"
"1","Harvester of Misery"
"1","Kiora, the Rising Tide"
"1","Forest"
"1","Disfigure"
"1","Into the Roil"
"1","Mystic Confluence"
"1","Shelldock Isle"
"1","Deluge of Doom"
"1","Ethereal Forager"
"1","Mystic Sanctuary"
"1","Watery Grave"
"1","Dreamtide Whale"
"5","Island"
"1","Dig Through Time"
"1","Preordain"
"1","Torrential Gearhulk"
"1","Toxic Deluge"
"1","Consider"
