Quantity,Name
"1","Brineborn Cutthroat"
"1","Nissa, Who Shakes the World"
"1","Exclusion Mage"
"1","Terramorphic Expanse"
"1","Hinterland Harbor"
"1","Devoted Druid"
"1","Mulldrifter"
"1","Faerie Vandal"
"1","Unsummon"
"1","Chart a Course"
"1","Arctic Flats"
"1","Territorial Allosaurus"
"1","Copper Myr"
"1","Gold Myr"
"1","Llanowar Elves"
"1","Silver Myr"
"1","Into the Roil"
"1","Jace, Arcane Strategist"
"1","Touch the Spirit Realm"
"1","Plains"
"4","Island"
"1","Vineglimmer Snarl"
"1","Arasta of the Endless Web"
"1","Merfolk Skydiver"
"1","Rampaging Baloths"
"1","Titanic Brawl"
"1","Swords to Plowshares"
"1","Azorius Guildgate"
"1","Path to Exile"
"1","Lion Sash"
"6","Forest"
"1","Arbor Elf"
