Quantity,Name
"1","Ajani Goldmane"
"1","Puncture Blast"
"1","Marwyn, the Nurturer"
"1","Obstinate Baloth"
"1","Warcry Phoenix"
"1","Devoted Druid"
"1","Ward of Bones"
"1","Turntimber Basilisk"
"1","Recross the Paths"
"1","Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun"
"1","Sunpetal Grove"
"1","Loxodon Warhammer"
"1","Fury Charm"
"1","Copper Myr"
"1","Thornling"
"1","Quietus Spike"
"1","Mark of Mutiny"
"1","Grappling Hook"
"1","Magma Phoenix"
"5","Mountain"
"1","Arasta of the Endless Web"
"1","Skarrgan Hellkite"
"4","Forest"
"5","Plains"
"1","Panharmonicon"
"1","Arbor Elf"
