Quantity,Name
"1","Chain Lightning"
"1","Lightning Bolt"
"1","Catalyst Elemental"
"1","Kazandu Refuge"
"1","Grim Initiate"
"1","Territorial Allosaurus"
"1","Capricious Efreet"
"1","Smother"
"1","Copper Myr"
"1","Iron Myr"
"1","Rootbound Crag"
"1","Cankerbloom"
"1","Domri, Anarch of Bolas"
"7","Forest"
"8","Mountain"
"1","Utopia Sprawl"
"1","Rigging Runner"
"1","Reckless Rage"
"1","Kronch Wrangler"
"1","Rampaging Baloths"
"1","Witherscale Wurm"
"1","Rubblebelt Rioters"
"1","Domri's Ambush"
"1","Rage Nimbus"
"1","Summit Apes"
"1","Impending Doom"
"1","Arbor Elf"
